SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612742,DAL,Dallas Mavericks,0022400635,2025-01-25,DAL vs. BOS,L,239,107,39,88,0.443,8,22,0.364,21,28,0.75,13,36,49,18,2,8,12,20,-15.0
22024,1610612742,DAL,Dallas Mavericks,0022400625,2025-01-23,DAL @ OKC,W,240,121,39,74,0.527,14,31,0.452,29,36,0.806,8,35,43,25,9,3,20,25,6.0
22024,1610612742,DAL,Dallas Mavericks,0022400614,2025-01-22,DAL vs. MIN,L,240,114,45,90,0.5,8,29,0.276,16,19,0.842,7,31,38,24,5,4,13,21,-1.0
22024,1610612742,DAL,Dallas Mavericks,0022400599,2025-01-20,DAL @ CHA,L,240,105,38,88,0.432,6,32,0.188,23,26,0.885,16,35,51,19,10,8,14,15,-5.0
22024,1610612742,DAL,Dallas Mavericks,0022400583,2025-01-17,DAL vs. OKC,W,240,106,37,75,0.493,16,41,0.39,16,22,0.727,6,37,43,25,11,7,17,18,8.0
22024,1610612742,DAL,Dallas Mavericks,0022400566,2025-01-15,DAL @ NOP,L,239,116,43,90,0.478,12,35,0.343,18,25,0.72,8,37,45,27,9,3,15,17,-3.0
22024,1610612742,DAL,Dallas Mavericks,0022400559,2025-01-14,DAL vs. DEN,L,239,99,38,90,0.422,9,32,0.281,14,22,0.636,8,22,30,27,14,6,12,17,-19.0
22024,1610612742,DAL,Dallas Mavericks,0022400540,2025-01-12,DAL vs. DEN,L,242,101,35,85,0.412,12,34,0.353,19,25,0.76,8,29,37,27,7,5,12,20,-11.0
22024,1610612742,DAL,Dallas Mavericks,0022400521,2025-01-09,DAL vs. POR,W,240,117,40,88,0.455,10,30,0.333,27,30,0.9,16,37,53,26,8,7,14,18,6.0
22024,1610612742,DAL,Dallas Mavericks,0022400504,2025-01-07,DAL vs. LAL,W,238,118,45,86,0.523,18,38,0.474,10,14,0.714,11,33,44,29,7,0,10,16,21.0
22024,1610612742,DAL,Dallas Mavericks,0022400499,2025-01-06,DAL @ MEM,L,241,104,40,98,0.408,13,36,0.361,11,15,0.733,13,37,50,25,7,8,15,22,-15.0
22024,1610612742,DAL,Dallas Mavericks,0022400474,2025-01-03,DAL vs. CLE,L,240,122,43,100,0.43,12,44,0.273,24,30,0.8,21,32,53,29,3,4,12,17,-12.0
22024,1610612742,DAL,Dallas Mavericks,0022400460,2025-01-01,DAL @ HOU,L,240,99,40,75,0.533,11,28,0.393,8,16,0.5,6,32,38,19,9,12,20,20,-11.0
22024,1610612742,DAL,Dallas Mavericks,0022400448,2024-12-30,DAL @ SAC,L,241,100,32,76,0.421,12,31,0.387,24,29,0.828,2,34,36,17,8,13,17,20,-10.0
22024,1610612742,DAL,Dallas Mavericks,0022400434,2024-12-28,DAL @ POR,L,240,122,43,89,0.483,15,38,0.395,21,26,0.808,10,30,40,20,6,10,13,21,-4.0
22024,1610612742,DAL,Dallas Mavericks,0022400425,2024-12-27,DAL @ PHX,W,242,98,35,80,0.438,12,34,0.353,16,17,0.941,7,34,41,24,6,5,15,15,9.0
